Hectare,Shift,Date,Note Squirrel & Park Stories, Squirrel Experience or Squirrel Story, Park Experience or Census Taker Story, Dogs, Other Animals, Accidental Poems, Squirrels Acting Odd, Census Takers Recognized, Other
03A,PM,10202018,A squirrel was chilling and foraging on the ground when it got into a confrontation with another squirrel. There were kuks exchanged but then they both ran away.,true,,,,,,,
03B,AM,10102018,"- #2/#3 Juveniles playing / chasing each other running up tree 
- Dogs still running around off leashes after 9 am 
- #9: Dogs around + running from 

- #10 - relaxed eating",true,,true,,,,,
03B,PM,10072018,Lots of acorns and chestnuts in this area!,,true,,,,,,
03C,AM,10072018,"Squirrel #1 spotted on walkway, climbed over wire fence and circled maple tree.",true,,,,,,,
03D,PM,10102018,Squirrel #9 being chased by small child while another child yells + screams to go on the carousel again. Squirrel #12 fights w/ others. Drumset playing just outside hectare. People on rock by playground smoking weed. #14 sitting on branch in tree crying.,true,,,,,,,
03D,AM,10062018,"Squirrel #1 spotted (next to the playground) approached fence of the playground, cross slightly the fence, but did not go into the playground. 

Squirrel #1 ran away from small motor vehicle that left a WC structure 
and black dog that approached it (led by dog's owner).

Squirrel #3 slightly approached (from a distance) and stared at a boy with his father.

Squirrels #3 and #5 seem to have shorter and less puffy tails than the rest (about half the size).

Squirrels described as “wary of humans“ would move about so as to avoid coming close to humans in playground.",true,,,,,,,
03E,AM,10062018,"1 Not too much human traffic 
2 People walking dogs without a leash 
Large white Golden Retriever scared the squirrel 
People hanging around w/ bags 

Lot more people w/ dogs",,,true,,,,,
03E,PM,10082018,Squirrel #7 sat there allowing pics. Five people near him.,true,,,,,,,
03F,AM,10062018,"The friendships that were quickly made. 

This experience of active meditation. It was like fishing only on land. 

The notion of watching squirrels while people were inquisitively watching us was fun, like having a secret in an open public forum.",,true,,,,,,
03F,PM,10132018,"Hectare was peacefully bustling.
It was a peaceful bustle. 
A monk came to bless the squirrels.",,,,,true,,,
03F,AM,10202018,"(1) ate then ran away when golf cart traveled on pathway 
(6) tail white tip
Hallett Nature Sanctuary 
Bird Sanctuary opens 10am
(11,12,13) chased each other 
#1-6 9:12AM to 9:36AM
#7-13 10AM to 10:06AM",,,,,,true,,
03G,PM,10132018,"Cattails!

Fenced off, peeked through as best I could.

""Brush"": Hard to see/access, mostly birds in there anyway.

Fenced off, lots of brush/trees; counted from path.

Troubadour.",,true,,,,,,
03G,AM,10082018,"Map guy — training: ""How to approach a customer who asks you something."" ... ""No, I didn't yell.""

Great photo opp with The Plaza",,true,,,,,,
03H,AM,10082018,Picture spot!,,true,,,,,,
03H,PM,10142018,"Parade happening on 5th Avenue
So many wedding/engagement photos
The black squirrel attracted a ton of attention.",true,true,,,,,,
03I,AM,10102018,"Squirrel #1 running across sidewalk with nut in mouth.

Squirrel #2 running up/along tree branch.

Squirrel #3 top of tree highway.

Squirrel #4 foraging on the ground.

Several delivery trucks for zoo – no obvious nests – squirrels must be using tree holes.",true,true,,,,,,
04A,AM,10072018,It was mostly the same five squirrels foraging and eating in the grass. They didn’t pay any attention to people walking nor dogs nor the birds also looking for food in this area. They were more in the open grass by a single tree then in the bushes.,true,,true,true,,,,Birds
04A,PM,10072018,"The squirrels seem to be relaxed and hanging out by the rocks/boulders, where it was calmer. Mostly the hectare was pretty busy, lots of people on bikes, walking dogs, etc.",true,,true,,,,,
04B,PM,10062018,Numerous unleashed dogs in park.,,,true,,,,,
04B,PM,10182018,Squirrels #1 through #4 being fed by tourists.,true,,,,,,,
04B,AM,10102018,"There was a pretty obvious turf war happening in a tree. I heard it before I saw it. A scurry of claws on bark, a rustle of leaves and a shower of falling acorns. Squirrel (5) was obviously perturbed that squirrel (6) had found itself in his tree, and ran him right out of town. There was a brief exchange of ""words"" from tree to ground in what I can only imagine was language not meant for juvenile ears.",true,,,,,,,
04C,AM,10062018,"Once I got into the area I didn't notice any squirrels, so I climbed the Umpire Rock hoping to see around. Then I first noticed Squirrels #1 and #2. Jumping over each other. Very calm. No humans around. I would even say they were playing with each other. Then, immediately I see Squirrel #3 passing by and climbing a tree. I didn't see this squirrel anymore. I walk around, then notice that for the entire time a dog has been observing squirrels #1 and #2 from the distance, sitting, not moving. Like a statue for the entire time. After 20 minutes or so, I hear the dog's owners calling him but the dog won't move. His name is Harper. I walk around, don't notice more squirrels but then decide to come closer to squirrels #1 and #2. It's no longer two but three squirrels I see so I register Squirrel #4, then start watching the trees. I see Squirrel #5, who joins the rest of the ""family."" Squirrels #1, #2, #4, and #5 keep climbing up and down the tree next to the baseball fields for the rest of my time there. Around five to seven humans stop by and take photos of the gang. The squirrels are indifferent through all of this. Before my time ends, I walk around once more but notice no new squirrels. I took a photo of Harper the dog watching squirrels. I'll send it to you.",true,true,true,,,,,
04C,PM,10102018,"- Squirrels #1 and #2 intxn
* Someone drumming on top of Umpire Rock
- Squirrels #11 through #15 maybe a family?",true,true,,,,,,
04D,AM,10122018,"Nests spotted: ||||
Squirrel #1 was burying some nuts then 2 dogs chased him + he ran up a tree 

Squirrels 3+4 were playing together 

While all seemed indifferent to humans, squirrel 1 ran from dogs + squirrel 2 was hanging out on tree trunk watching dogs off leash (who didn't notice him)",true,,true,,,,,
04D,PM,10062018,"Guy playing ""What a Friend We Have in Jesus"" on weird stringed instrument.

Two women communicating by sign language.",,true,,,,,,
04D,AM,10172018,"Column One (left): 
Hecksher Playground
Opened 1924
Improved 1936

Column Two:
A Gift to
the children of
New York City
by
August Hecksher

I can't believe I don't see any squirrels here. 

Red flag day.

Finally! A squirrel!",,true,,,,,,
04E,PM,10082018,Squirrels #1 and #2 were playing up and down tree.,true,,,,,,,
04E,AM,10102018,The lawns were being mowed in this hectare while I was observing.,,true,,,,,,
04E,AM,10202018,"The lower right corner is occupied by a trainer throwing frisbees for his dog to catch! There are seriously a lot of barking dogs! 

Squirrel #2 was on a tree with those helicopter seeds.",,,,,,,,
04F,PM,10132018,"One inch worm found its way onto 
this counter's shoulder. The waning
sun left the air cool and calm.",,,,,true,,,
04F,AM,10072018,"The Victoria Gardens are now gone and will become skating rink again soon. Saw an acorn tree. Dogs playing and running in the lawn. Sounds of blue jays. People strolling as they as they are having their morning coffee. I can see horse and carriage ride on road. As you face the Victoria Gardens, you see all the tall NYC buildings. So quiet and peaceful. Citibank Bike riders. No squirrel sighting. :( Fire hydrant in the lawn.",,true,,true,,,,Birds
04G,AM,10062018,"There was a tour that stopped (marked (T) on map). A (guide) person was talking to the group with a microphone. Guy walking by w/ a clanging, empty cart. At one point, a dog w/o a leash chased after squirrel #3 but it ran away up into a tree. A total of 3 dogs went after the squirrel unsuccessfully. There are at least 5 oaks in this area so acorns are in abundance.",true,true,true,,,,,
05F,PM,10072018,"Multiple squirrels foraging and/or burying nuts. Wonder if they’ll remember locations. Largely in different humans; they have more important business afoot. 

Wanted to report some squirrels on trees, but only saw tree squirrels after the data collection window passed. Sorry for lack of location diversity!",,,,,,,,
05G,AM,10062018,"- So many birds! I don't know what they're called, but the Snow White cheep cheep kind and they were all huddled together in a meadow.
- The one squirrel I saw was super active way high up in a tree. 
- I hare the horse + carriages but loved that one was",,true,,,,,,
05H,AM,10072018,"Not many people but noisy staff with leaf blowers. 

Got to see the seals being fed! And practice tricks!

(Saw horses in barn (not in my hectare).)",,true,,true,,,,Horses
05H,PM,10062018,"Very difficult to access,

Over 50 percent inside of Zoo. Too many humans for squirrels.",,true,,,,,,
08D,PM,10202018,"Too many humans lounging on the lawn, lots of kids. Music in the background. Squirrels staying above ground.",true,true,,,,,,
04H,AM,10062018,"As I sit writing this recap, a woman who was participating in the race is trying to balance a mobile phone on a rock to take a selfie -- a grey squirrel jumped up right next to her phone -- no Fear.  It wanted food. The woman annoyedly shooed it away. 
My hectare was mostly inaccessible, being comprised of a lot of the zoo which was ""authorized access only"" or not yet open. I was able to observe four squirrels in the densely wooded perimeter, having initially despaired of seeing any. 3 grays, 1 black. I also saw two squirrels just outside my area, in 4-I, I believe. The squirrels --> 
--> I observed were focused on their tasks, primarily foraging. 
I live in Stuyvesant Town, an area of Manhattan with an incredibly dense squirrel population. The squirrels in Stuy Townn are bold and fearless -- they want a nut and they want it now. They've become accustomed to being fed nuts by Stuy Town residents, primarily the elderly residents. Drop a nut, especially a premium one, such as a full walnut in its shell, and they will arrive en mass. The squirrels I saw today in Central Park, while they did not approach me, would not have needed much coaxing. You can ""turn"" a squirrel pretty quickly in this town. 
But enough about me...today was a fine day for a squirrel census and I very much appreciated this opportunity -- it was a very peaceful experience. Counting squirrels makes your troubles disappear into nature. 
Thanks! [drawing of squirrel]",true,true,,,,,,
04H,PM,10192018,"A family of tourists was very interested in Squirrel #1. Squirrel #1 was outside a hectare. Most of 4-H is the zoo, so no squirrels sighted.",true,,,,,,,
04H,PM,10062018,"The Zoo was in my territory. I was very surprised that the WCS did not know about the Census. I had to speak to the head of security to gain access to the zoo.

I think a nice thank you note to the WCS from your organization would be appropriate.",,true,,,,,,
04I,PM,10072018,"Squirrel #1 foraging — ran across path, climbed shrub five feet, ran down and hid under bush. Squirrel #2 chasing Squirrel #3.",true,,,,,,,
04I,AM,10062018,"Squirrel #3 was up at the highest branches, ripping off smaller twigs and returning them to its nest 30 feet up tree. Video taken. Always takes the same path to nest. Sometimes drops twig/leaf. Continued for 10+ minutes. I left area, still building.

Area included busy Fifth Avenue — dogs and cars and path on western side had many people walking through.

Squirrel #2 digging in ground, eating, very bushy tail, cross walking path without hesitation or addressing humans stopping to watch it, take pics up close. Most focused on digging, running back-and-forth across path. Video taken.",true,,true,,,,,
05A,PM,10102018,"After seeing only one squirrel in 10 minutes, I was suddenly hit on the head with nuts.",true,true,,,,,,
05A,AM,10062018,"Many people in the area, particularly because a run was taking place. Also, many dogs, including at least four off leash, were in the area.

Kept returning to the spot marked with asterisk (a lawn,) thinking at least one squirrel would be there, but found none.",,true,,,,,,
05A,AM,10062018,"Many people in the area, particularly because a run was taking place. Also, many dogs, including at least four off leash, were in the area.

Kept returning to the spot marked with asterisk (a lawn,) thinking at least one squirrel would be there, but found none.",,true,,,,,,
05B,PM,10132018,"Cute little puppies playing. 
Squirrel #6 being chased up a tree by a dog.",,,true,,,,,
05B,AM,10082018,"No squirrels, people, or pets by the Dalehead Arch, but squawking of a bird. Then a runner passed under the arch as a truck dropping off vending carts drives by the arch. More people and dogs east of the arch, including kids on break from school since it is Columbus Day. Women walking dogs by Ballfield #5, talking about “school shooting drills.“",,true,true,,,,,
05B,PM,10202018,"Squirrel #1 – Heckscher Fields/nut stand. 

Squirrel #2 — in baseball field.

Two women approached the squirrel and took photos of it. S/he was not afraid, although it did run partially up a tree after but soon returned to the ground.

About 100 yards away, the other squirrel almost looked like a rabbit from afar. Both squirrels were busy foraging. It was a pretty busy area full of pedestrians. Surprisingly litter free.",true,true,,,,,,
05C,AM,10062018,"- I said hi to squirrel #1 and she came to me! She climbed the fence and stared, probably waiting for me to give her food. - Squirrel #2 was running and climbing like crazy in a tree trying to get as much seeds as she could. She even hung from her hind pa",true,,,,,,,
05C,PM,10102018,Squirrel #10 fed by passersby.,true,,,,,,,
05D,AM,10102018,"When I started observations there was a Red-Tailed Hawk hunting. It swooped down and tried to catch something. I didn't see what it tried to catch. It left after about 15 minutes. It did not catch any bird or squirrel. 
It was only about 5 minutes after it left when I saw any squirrels.",,,,true,,,,
05D,AM,10202018,"Someone asked me if I was an arborist.

There's a couple sitting on the rock near the Carousel, making out. Afraid to walk over there. They looked at me and then continued! OMG, someone else is approaching the rock area and then walks away after seeing!

The cafe is not open. Cannot go on the baseball field.

Anyway, unfortunately could not really search the rock near the Carousel area.",,true,,,,,true,Kissing
05D,PM,10162018,Lots of dogs running around chasing balls!,,,true,,,,,
05E,PM,10192018,"- Guy rock-climbing 
- Family playing chess
- Guy on electric unicycle 
- Teens selling Oreo packs
- Family picnicking
- Kid learning to roller ['skate,' crossed out] blade 
- Kids running in field 
- Scary doberman on leash 
- Fake monks ""selling"" bracel",,,,,true,,,
05E,AM,10082018,"A human father and daughter sitting at one of the checker tables watching and photographing with a phone a squirrel on the adjacent table flocked by small birds, all eating from a pile of crumbled crackers. A second squirrel up ahead in the trellis went running along its way. A third squirrel approached the first squirrel (and the food), but backed away from the first larger squirrel — there was no confrontation and all was soundless, including the human father and daughter.",true,true,,true,,,,Birds
05F,AM,10072018,"Squirrel #1 running along fence, then stopped to eat on fence. 

Squirrel #2 came down tree. 

Squirrel #3 on the ground. 

Squirrel #4 on rock outcropping. 

Squirrel #5 running up and down two trees. 

Squirrel #6 sitting on branch eating, very still.",true,,,,,,,
07C,PM,10102018,"Hectare fenced out, walked around the fence perimeter. Lots of picnickers, families, couples and trios lounging under trees. Sports event on the side of meadow. No squirrels inside meadow.",,true,,,,,,
05I,PM,10082018,"Can hear but not see seals barking on the Zoo side. This area is pretty quiet otherwise, because the Zoo is closed for the day. 

East side of hectare is all street traffic. 

Squirrel #1 seemed threatened by my presence and stared me down for the whole time I was recording it. 

In the space between the Arsenal 5th Avenue/64th Street is a tall tree with a plastic bag stuffed in a hole in the tree about 20 feet up — put there by animal?",true,true,,true,,,,
06A,PM,10122018,"Area is loud and busy. Traffic, both people and motor traffic. Construction, people having dinner, horse-drawn carts, bicycle cabs. Sirens. Very noisy. Joggers.

Dad playing catch with his kids, with a football. Sweet.",,true,,,true,,,
06A,AM,10062018,"In each case the squirrels seemed less interested in humans than expected for Central Park squirrels, who are no beggars for human food. While voraciously foraging through the grass, barely a glance to see if I had a bite to offer. Also, I believe they know when dogs are leashed. Little fear of the leashed dog. An oddly silent bunch, given (or because of, perhaps) the constant symphony of the city.",true,,true,,,,,
06B,AM,10122018,"Squirrel # did such a wonderful job of safely crossing West Drive -- which is teeming with runners, walkers and bikers at this time. Mr #1 Squirrel seemed very comfortable in his skin (yes -- great anthropomorphising -- sorry) and with his surroundings.",true,,,,,,,
06B,PM,10172018,"Squirrel #2 very interested in me. Took acorn I threw.

Squirrels #4, #5, #6, #7 were playing together around tree base.",true,,,,,,,
06C,PM,10062018,"A lot of people stopped to take pictures of the squirrels and they were completely unfazed. One actually came closer to me and then stood up o its hind legs.

It felt like there were way more squirrels out and about than in the morning. I saw a giant trash bag pile and hoped to see some squirrels there but no such luck. Their standards are much higher. So classy.",true,,,,,,,
06C,AM,10072018,"I approached Squirrel #1 to make his acquaintance. He noticed my intrusion but did not show signs of distress, nor did he phone the neighborhood watch. Parking myself an acorn's drop from his white belly, I stared up at his perch. We held a respectful gaze for about two hours*, he taking in my lowly figure and I paying reverence to his xylem throne. He then motioned to the Labradoodles to the west. I’m nodded. It was time for our revels to end. His agent has since contacted my team to authorize release of the footage.

*45 seconds",true,,true,,,,,
06D,AM,10082018,"Squirrels #1, #2, #3 are family, I think! Squirrels #2 and #3 were popping their heads out of a hole in the tree. Squirrel #1 was on top of the hole. It kept staring at me and eventually climb down in approach me, thinking I probably had food.

Father was teaching his daughter how to ride a bike.

A dog walker passed by with four dogs not on leashes.",true,true,true,,,,,
06E,PM,10202018,"There are people wrapped in wrapping paper north of Squirrel #3.
Squirrel #5 was possibly #1, #2, or #3 again. Ran fast and disappeared.
Accidentally discovered someone peeing in the woods. Their friend, in a loudly colored cloak, was trying to hide there with the cloak, but it really only drew attention.
Squirrels #6 and #7 also may be repeats. They briefly met in tree, didn't fight, one just went back down and ran off.",true,true,,,,,,
06E,AM,10142018,Sheep Meadow closed,,true,,,,,,
06E,PM,10102018,"Lovely lady took our group selfie pic… She was from Australia!

My hectare is just along the 68th St. cross-park ""highway“ and borders the Sheep Meadow, so it is at once both a quiet place where folks are sitting on blankets – talking, reading, relaxing – and where other folks are walking, strolling, biking cross-park on the paved path, so it’s also moderately busy.",,true,,,,,,
06F,PM,10082018,"Saw a punk rocker getting pic taken in front of Columbus on Columbus Day. He X'd his arms over his head. 

Squirrels #1 and #2 look like they are playing tag. 

A horse whinnied!

Good hideaway here.",true,true,,true,,,,
06F,AM,10062018,The squirrel was scared because there was a marathon and many dogs. But it was very friendly.,true,true,,,,,,
06G,AM,10202018,"1 People taking pictures of engraved paving stones near Will Shakespeare 

2 Woman teaching children to bike 

3 Man doing push-ups near William Shakespeare",,,,,true,,,
06G,PM,10202018,"Very busy

A man asked if I was part of the Consensvency. I explained the census/and gave him some buttons. He said I made his day!",,,,,,,true,
06G,AM,10082018,"We heard the ""Star-Spangled Banner"" from the start of the Columbus Day Parade while we were next to the statue of Columbus.",,true,,,,,,
06G,AM,10172018,"There are manhole covers in the fields.

Thought there'd be more squirrels.",,true,,,,,,
06H,AM,10082018,People enjoyed watching the sea lions be fed from the periphery of the zoo. Many dogs were off-leash despite it being past 9 a.m. A family from what sounded like Georgia all ate hot dogs for breakfast and little kids were eating sno-cones at a very early hour.,,true,true,true,,,,
06H,PM,10202018,"This map needs review. A path goes to the rock. 
This is a meadow. A proper meadow. Not just a lawn.
""Native Meadow""
Street Performer

This is a major rock and should be named ""Sally's Climbing Rock.""",,true,,,,,,
06H,AM,10172018,"Lots of tourists in the area and runners and cyclists. One cyclist chastised another, saying repeatedly, “That was very dangerous. Why would you do that.“ A family of tourists passed, with the apparent mom questioning, “What is the school of Juilliard?” And an older teen son responding obstinately, “I’m only interested in the history.“",,true,,,,,,Bicyclists
06I,AM,10062018,"Saw a rat or mouse @ 66th & 5th
(1) came down tree, foraging for food on rocks, looks very healthy 
Scared by a breeze! Went up tree partway",true,,,true,,,,
07A,AM,10062018,"- Police cars, taxis parked in driveway. Many dogs on leashes. 

- On playground — a few children playing.

- Three big squirrel nests in trees near playground.

- A two-year-old child (human) fell off the slide on the playground and cried ... then laug",true,true,true,,,,,
07B,AM,10082018,"Wow! Squirrel City! Tavern on the Green a great spot.

Many near Adventure Playground.",true,,,,,,,
07C,AM,10122018,"Sheep Meadow is closed this morning. But as a result, the field is so calm, pristine, and natural. The few squirrels that I did see seemed to know they had the space to themselves. They nibbled, they hopped, they nibbled, they dug, they hopped...with seemingly little care of the world outside the field.",true,,,,,,,
07C,PM,10202018,"We saw three people taking pictures of Squirrel number three! It appeared to be posing. A kid threw a nut at it, and it grabbed it and ran a little way away to eat it. 

We saw cool looking mushrooms. 

We saw more people taking pictures. We were surprised!",true,true,,,,,,
07D,AM,10062018,"The area I was monitoring was mostly open field, bordered by a few London planetrees. There were no squirrels to be seen, and I speculated this might be because the trees do not provide sustenance for the squirrels. Suddenly, I saw one. It was thrashing around like a maniac, but it was kind of far away — visibility was poor. As I made a stealthy approach, the squirrel suddenly broke into two shapes and flew away! It was a couple of starlings in a death match or — it dawned on me — consummating an affair of the heart. No squirrels were seen, but I did begin the composition of my starling romance novel.",true,true,,,,true,,
07D,PM,10102018,Hectare fenced out. Lots of dog walkers. Large youth/school event in North Sheep Meadow. Group is “Playworks“-run event. Kickball sporting event.,,true,true,,,,,
07E,PM,10132018,"The Sheep Meadow was fenced in and closed off to the general public. All squirrels were in the fenced-in meadow. 

The pathway and volleyball courts were busy with pedestrian traffic. 

Loud music being played by the volleyball courts.",true,true,,,,,,
